run #,datetime,avg_loss,avg_loss_change,total_loss,cost_loss,structure_reg,pred_cost,true_cost,param_0,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,param_9,param_10,param_11,param_12
69,2025-08-05 19:50:24,186499020.8663,-1415010.4245,90278312.0000,90278312.0000,0.1383,56856.4453,68212.9023,9.1400,2.9849,99.8317,-1.6800,135.9389,2.8526,0.5003,0.9507,91.9931,183.6209,0.6000,0.8968,0.4996
70,2025-08-05 19:50:26,183845262.1173,-2653758.7490,735929.2500,735908.4375,20.7936,68101.9297,67076.6048,9.1624,3.0311,-103.8322,8.0857,147.1997,3.7678,0.5099,1.0146,93.8977,174.6947,0.6508,0.8820,0.4999
71,2025-08-05 19:50:27,181515742.3974,-2329519.7200,18449384.0000,18449362.0000,22.4766,62922.1523,68055.9827,10.1657,2.9922,-104.4429,2.4439,133.9896,4.7820,0.4968,0.9251,93.6275,178.0905,0.7004,0.8988,0.5142
72,2025-08-05 19:50:29,179529865.1419,-1985877.2555,38532600.0000,38532580.0000,19.0140,65909.7188,73329.0517,9.4991,3.0706,-92.7216,-2.7005,133.6308,6.0857,0.4940,1.1847,83.8753,180.9933,0.6714,0.8647,0.4891
73,2025-08-05 19:50:31,177307903.4550,-2221961.6869,17326662.0000,17326662.0000,0.1490,62309.8477,57334.6720,9.1858,2.7785,85.3292,5.9935,136.1418,5.0813,0.4915,0.9663,95.5588,180.8705,0.6704,0.9084,0.5041
74,2025-08-05 19:50:32,175165037.1650,-2142866.2899,18735820.0000,18735798.0000,22.9579,76976.6094,71803.0773,8.1309,2.8411,-91.9837,1.6150,133.8728,4.4730,0.5053,1.1180,88.8308,179.0137,0.6032,0.9071,0.4893
75,2025-08-05 19:50:34,173998698.5362,-1166338.6289,87689640.0000,87689640.0000,0.0939,67621.6094,56429.1583,10.1214,3.0140,87.0443,2.0350,132.2737,3.8894,0.4789,1.0966,87.7198,181.6661,0.7057,0.9191,0.4978
76,2025-08-05 19:50:36,171909430.8318,-2089267.7044,15214353.0000,15214353.0000,0.0775,64894.7344,60232.6761,11.1725,2.9901,88.7472,1.4952,128.6700,3.4454,0.5078,1.0251,95.0767,182.2372,0.7271,0.9156,0.5010
77,2025-08-05 19:50:38,169989000.6651,-1920430.1666,24036308.0000,24036308.0000,0.1054,72333.5312,66473.7061,10.0578,3.0105,99.4600,6.6861,135.2502,6.5324,0.4999,1.1388,84.6302,178.7160,0.6813,0.9108,0.5140
78,2025-08-05 19:50:39,168948737.2720,-1040263.3931,88848472.0000,88848456.0000,19.8272,62170.1289,73436.2903,11.6519,2.9386,-69.9569,-6.2864,135.5362,2.7404,0.5214,1.0127,95.9978,176.9871,0.6990,0.8952,0.4913
79,2025-08-05 19:50:41,166875791.8888,-2072945.3832,5186081.5000,5186052.0000,29.6871,64239.0547,66960.9366,9.4884,2.9505,-98.0372,4.9404,133.8826,4.4124,0.4994,0.9130,94.1573,184.2481,0.7858,0.9170,0.4991
80,2025-08-05 19:50:43,164832004.9089,-2043786.9799,3372859.5000,3372833.5000,25.9264,68592.3438,66397.2750,9.9211,3.0257,-84.6398,-2.9630,132.2974,3.5045,0.4804,1.1079,89.3362,180.6017,0.6875,0.8781,0.5003
81,2025-08-05 19:50:44,162906766.1693,-1925238.7396,8887667.0000,8887667.0000,0.0853,62917.8828,59354.6445,9.8691,2.9746,92.6400,2.6600,131.0626,5.6134,0.4991,0.9882,90.4176,181.5376,0.7839,0.8843,0.5021
82,2025-08-05 19:50:46,161048443.8380,-1858322.3313,10524335.0000,10524335.0000,0.0723,69847.3672,65969.8971,10.1035,2.9728,86.2736,-3.8972,131.7250,6.2837,0.4984,0.8856,90.0867,183.4310,0.6508,0.8976,0.4953
83,2025-08-05 19:50:48,159802600.8520,-1245842.9860,57643512.0000,57643476.0000,35.8283,59802.7266,68877.2937,9.6613,2.9214,-102.3662,4.8982,135.9043,4.8335,0.4945,1.0074,82.4934,183.4667,0.7230,0.8979,0.4965
84,2025-08-05 19:50:49,158115558.8894,-1687041.9625,18091076.0000,18091076.0000,0.0839,59877.5664,64961.3035,12.2035,3.0968,85.9763,4.2959,135.9958,6.5241,0.5162,1.0386,88.8290,181.2548,0.7986,0.9011,0.5081
85,2025-08-05 19:50:51,156287969.8702,-1827589.0193,2770492.2500,2770492.2500,0.0620,56415.6953,54426.2598,10.5426,2.8744,68.4651,2.3735,134.3201,4.9142,0.4986,0.8107,85.8962,176.8428,0.7590,0.8942,0.5008
86,2025-08-05 19:50:52,156277848.3600,-10121.5101,155417520.0000,155417520.0000,0.0727,54817.8008,69718.3034,9.0375,2.9841,86.3549,4.2770,135.2331,6.4231,0.4939,0.9921,95.1058,180.5757,0.7618,0.8926,0.4932
87,2025-08-05 19:50:54,157183680.9076,905832.5476,235085328.0000,235085280.0000,43.2649,63225.3477,81551.1781,9.7098,2.8071,-92.5077,-1.6142,139.0567,6.3057,0.4911,0.9114,91.5637,184.9345,0.7040,0.9104,0.5017
88,2025-08-05 19:50:56,155564097.2723,-1619583.6353,14660363.0000,14660321.0000,42.2705,61532.1445,56955.7562,9.2174,3.1593,-96.7505,-3.1805,137.9357,4.4904,0.4977,0.9725,85.7273,181.1241,0.7268,0.9023,0.4911
89,2025-08-05 19:50:57,154588826.0670,-975271.2053,68765008.0000,68764960.0000,47.0787,61389.6172,71301.0103,11.7497,2.9309,-105.8121,0.5565,133.8610,4.9559,0.5009,0.9357,88.4255,183.7650,0.6642,0.9062,0.4946
90,2025-08-05 19:50:59,153147828.6885,-1440997.3785,24899092.0000,24899062.0000,29.3390,59679.8008,65643.8702,10.0619,3.1893,-78.1164,-4.4153,148.2812,2.4910,0.5048,1.1300,96.0379,178.8900,0.7018,0.9128,0.5051
91,2025-08-05 19:51:01,151483925.4337,-1663903.2548,1732632.6250,1732632.5000,0.0747,60137.3359,58564.0637,10.5510,3.0687,83.2939,-0.7332,144.5018,5.1784,0.5055,1.0819,89.1133,180.3196,0.7658,0.9062,0.4941
92,2025-08-05 19:51:03,150321685.6355,-1162239.7982,44557864.0000,44557864.0000,0.0790,63644.3906,71622.7427,8.2616,3.0064,97.9009,-0.4247,137.8525,5.6906,0.5112,0.9943,93.2642,178.2865,0.5911,0.8904,0.4993
93,2025-08-05 19:51:04,148812364.7684,-1509320.8670,9954845.0000,9954845.0000,0.0585,59885.4766,56114.3741,9.6242,2.9841,86.8987,1.1802,134.9418,3.4800,0.5016,0.9886,93.0575,181.7159,0.7215,0.9133,0.5121
94,2025-08-05 19:51:06,147358730.7922,-1453633.9763,12170771.0000,12170771.0000,0.0898,59055.0000,63224.7492,12.0252,3.0591,107.0698,0.6833,131.3256,5.3298,0.5089,0.9934,87.6871,177.9733,0.6066,0.8887,0.5109
95,2025-08-05 19:51:07,146520853.3733,-837877.4189,67760376.0000,67760376.0000,0.0613,65238.2812,55399.5563,9.5412,2.9038,85.6518,-6.4055,130.5147,3.5098,0.5045,1.0766,90.3559,179.2720,0.7119,0.8897,0.5105
96,2025-08-05 19:51:09,145227998.1715,-1292855.2018,22406754.0000,22406754.0000,0.0780,64424.8828,58767.1757,9.9434,2.9330,98.8231,8.8201,144.8363,4.8459,0.4790,0.8761,89.3934,184.6044,0.6005,0.9087,0.5050
97,2025-08-05 19:51:11,143733267.3638,-1494730.8077,239164.6875,239109.8281,54.8524,69267.6953,68683.2443,10.1957,3.0244,-89.8715,-0.4298,133.2607,4.4648,0.4911,0.9909,86.7938,179.6561,0.6198,0.9026,0.4969
98,2025-08-05 19:51:12,142454329.9622,-1278937.4017,18397402.0000,18397402.0000,0.0704,57510.4375,62637.0343,8.9825,2.9325,90.8337,-4.5030,136.6418,5.4156,0.5035,0.9492,93.6474,180.0232,0.7139,0.8914,0.4854
99,2025-08-05 19:51:14,141024879.5396,-1429450.4226,938798.7500,938738.1250,60.6501,68352.4531,69510.4901,9.5708,2.9861,-94.9267,-4.7818,126.6055,5.2666,0.4824,1.0270,87.3311,180.6758,0.6938,0.8934,0.5259
100,2025-08-05 19:51:16,139761857.5442,-1263021.9954,14722747.0000,14722680.0000,66.6112,73290.9766,68704.8701,9.4993,3.0133,-94.0616,-4.8575,135.9579,5.2383,0.5129,0.9905,94.1693,176.5232,0.7757,0.8928,0.4828
101,2025-08-05 19:51:18,138483101.4695,-1278756.0747,10607497.0000,10607494.0000,3.3891,65989.3516,69882.1114,10.0173,2.9881,-82.4054,3.8173,136.2144,5.0302,0.4950,1.0165,91.3488,180.0215,0.6716,0.8903,0.5042
102,2025-08-05 19:51:19,137465676.8276,-1017424.6419,34705796.0000,34705788.0000,8.6601,66124.9922,59083.7060,9.2535,3.1378,-94.1021,-1.5292,132.0158,4.8181,0.5042,0.9928,86.0768,180.8762,0.7937,0.8927,0.4902
103,2025-08-05 19:51:21,136244636.6060,-1221040.2216,11698541.0000,11698534.0000,6.6835,66686.7188,70774.7698,10.7546,3.0777,-97.8453,0.8999,133.9859,2.4329,0.4913,0.9548,86.1136,184.1669,0.7152,0.8976,0.4990
104,2025-08-05 19:51:22,135339023.1002,-905613.5058,42060832.0000,42060832.0000,0.1464,66142.8047,58391.2291,10.4791,3.0877,97.6189,2.7769,134.4182,5.0921,0.5129,0.9859,90.1971,184.4422,0.6406,0.8830,0.4933
105,2025-08-05 19:51:24,134996885.6611,-342137.4390,99414592.0000,99414592.0000,3.2319,66517.3438,54600.0956,9.4384,2.9430,93.0672,1.2089,136.0195,3.7660,0.4893,0.8064,92.4413,182.6899,0.6856,0.8808,0.5119
106,2025-08-05 19:51:26,133724600.2413,-1272285.4199,134635.1406,134631.1562,3.9834,66197.4844,65758.9262,10.2391,2.9523,77.1624,7.3235,126.0708,6.4487,0.5051,0.8255,85.4156,181.7566,0.7219,0.8893,0.4968
107,2025-08-05 19:51:27,133303816.1642,-420784.0770,88700704.0000,88700704.0000,0.3948,66002.2109,54745.4226,9.5744,3.0412,95.4216,-3.8620,135.8854,4.6918,0.5114,1.1308,92.3253,176.6277,0.7146,0.9110,0.4941
